,original_title,overview,region_final,release_date,genre_final,cast_final,director
544,Flight of the Phoenix,"When an Amacor oil rig in the Gobi Desert of Mongolia proves unproductive, Captain Frank Towns and copilot ""A.J."" are sent to shut the operation down. However, on their way to Beijing, a major dust storm forces them to ditch their C-119 Flying Boxcar in an uncharted area of the desert.",United States of America,2004-12-17,Action,"['Frank Towns', 'A.J.', 'Elliott', 'Kelly', 'Ian', 'John Davis', 'Alex Rodney', 'Jeremy', 'Sammi', 'James Liddle', 'Rady', 'Dr. Gerber', 'Newman', 'Kyle', 'Lead Smuggler', 'Jeremy (as Kirk Jones)']",
545,Unbreakable,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead – and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",United States of America,2000-11-13,Science Fiction,"['David Dunn', 'Elijah Price', 'Audrey Dunn', 'Joseph Dunn', 'Hostage Boy', 'Orange Suit Man', 'School Nurse', 'Stadium Drug Dealer', ""Elijah's Mother"", 'Dr. Mathison', 'Kelly', 'Elijah, Age 13', 'Babysitter', 'Comic Book Clerk', 'David Dunn, Age 20', 'Audrey Inverso, Age 20', 'ER Doctor', 'Saleswoman', 'Businessman', 'Priest', 'Ancient Personnel Secretary', 'Noel', 'Green Army Jacketed Man', 'Physician', 'Physical Therapist', 'Thermoneter Boy', 'Truck Driver', 'Radio Announcer', 'Shoplifter', 'Slick Haired Man', 'Frat Party Boy', 'Frat Party Girl', 'Hostage Father', 'Hostage Girl', 'Security Dispatcher', 'Five Year Old Boy', 'Bar Patron', 'EastRail Engineer', 'Hostage Woman', 'Hospital Administrator']",
546,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",United States of America,2015-06-17,Family,"['Scarlet Overkill (voice)', 'Herb Overkill (voice)', 'Walter Nelson (voice)', 'Madge Nelson (voice)', 'Professor Flux / Tower Guard (voice)', 'Reine Elizabeth II (voice)', 'Narrator (voice)', 'Gru (voice)', 'Stuart, Kevin and Bob (voices)', 'Tina (voice)', 'VNC Announcer / Walter Jr. (voice)', 'Sumo (voice)', 'Fabrice (voice)', 'Royal Advisor (voice)', 'News Reporter (voice)', 'Additional Voices (voice)', 'Additional Voices (voice)']",
547,Sucker Punch,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",United States of America,2011-03-24,Action,"['Baby Doll', 'Sweet Pea', 'Rocket', 'Blondie', 'Amber', 'Madame Vera Gorski / Dr. Vera Gorski', 'Blue Jones', 'CJ', 'The Doctor / The High Roller', 'The Wise Man / The General / The Bus Driver', 'The Stepfather / The Priest', 'The Cook', 'Danforth', 'Big Boss Thug', 'Mayor / Lighter Orderly', ""Babydoll's Mother"", ""Babydoll's Sister"", 'Lobotomy Nurse / High Roller Girl #1', 'Lobotomy Nurse / High Roller Girl #2', 'Tommy Soldier #1', 'Tommy Soldier #2', 'Tommy Soldier #3', 'Dancer', 'Dancer', 'Dancer', 'Dancer', 'Guard / Chauffeur #1', 'Guard / Chauffeur #2', 'Earl', 'Grim Doctor', 'Cemetary Cop', 'Police Officer #1', 'Police Officer #2', 'State Trooper #1', 'State Trooper #2']",
548,Snake Eyes,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.",Canada,1998-08-07,Crime,"['Rick Santoro', 'Commander Kevin Dunne', 'Gilbert Powell', 'Julia Costello', 'Anthea', 'Lincoln Tyler', 'Lou Logan', 'Jimmy George', 'Charles Kirkland', 'Cyrus', 'Ned Campbell', 'Walt McGahn', 'Mickey Alter', ""Tyler's Party Girl #2"", 'Casino Security #1', ""Tyler's Bodyguard"", 'C.J.', 'Arena Security', 'Ring Announcer', 'Zietz (Drunk)', 'Arena Security', 'Lady at Elevator', 'Blonde Reporter']",
549,Sphere,"The OSSA discovers a spacecraft thought to be at least 300 years old at the bottom of the ocean. Immediately following the discovery, they decide to send a team down to the depths of the ocean to study the space craft.They are the best of best, smart and logical, and the perfect choice to learn more about the spacecraft.",United States of America,1998-02-13,Science Fiction,"['Dr. Norman Goodman', ""Dr. Elizabeth 'Beth' Halperin"", 'Dr. Harry Adams', 'Captain Harold C. Barnes', 'Dr. Ted Fielding', ""Alice 'Teeny' Fletcher"", 'Jane Edmunds', 'Helicopter Pilot', 'Seaman', 'O.S.S.A. Instructor', 'O.S.S.A. Official', 'O.S.S.A. Official']",
550,The Angry Birds Movie,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.",Finland,2016-05-11,Family,"['Red (voice)', 'Chuck (voice)', 'Bomb (voice)', 'Matilda (voice)', 'Leonard (voice)', 'Mighty Eagle (voice)', 'Terence (voice)', 'Judge Peckinpah (voice)', 'Stella / Eva the Birthday Mom (voice)', 'Ross / Cyrus / Mime (voice)', 'Edward the Birthday Dad (voice)', 'Tiny (voice)', 'Photog (voice)', 'Bubbles (voice)', 'Hal (voice)', 'Helen the Lunch Mom / Yoga Instructor (voice)', 'Chef Pig / Phillip (voice)', 'Earl Pig (voice)', 'Willow (voice)', 'Betty Bird (voice)', 'Ella Bird (voice)', 'Timothy the Birthday Bird (voice)', 'Day Care Teacher (voice)', 'Sophie Bird / Peggy Bird (voice)', 'Bobby Bird (voice)', 'Foreman Pig (voice)', 'Greg Blue (voice)', 'Monty Pig (voice)', 'Bill Beakins (voice)', 'Olive Blue / Monica the Crossing Guard (voice)', 'Early Bird (voice)', 'Shirley the Old Lady Bird (voice)']",
551,Fool's Gold,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch will stop at nothing to beat him to it.",United States of America,2008-02-07,Romance,"[""Ben 'Finn' Finnegan"", 'Tess Finnegan', 'Nigel Honeycutt', 'Alfonz', 'Gemma Honeycutt', 'Bigg Bunny', 'Moe Fitch', 'Curtis', 'Cordell', 'Gary', 'Eddie', 'Cyrus', 'Stefan', 'Andras', 'Precious Gem Crew Nurse', 'Precious Gem Crew Member 1', 'Precious Gem Crew Member 2']",
552,Funny People,"Famous and wealthy funnyman George Simmons doesn't give much thought to how he treats people until a doctor delivers stunning health news, forcing George to reevaluate his priorities with a little help from aspiring stand-up comic Ira.",United States of America,2009-07-31,Comedy,"['George Simmons', 'Ira Wright', 'Laura', 'Clarke', 'Leo Koenig', 'Mark Taylor Jackson', 'Chuck', 'Randy', 'Daisy Danby', 'Mable', 'Ingrid', 'Dawn', 'Mandy', 'Dr. Lars', 'Dr. Stevens', 'Comedy & Magic Manager', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Herself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Herself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Himself', 'Herself', 'Himself', 'Rachel', ""George's Sister"", ""George's Dad"", ""George's Agent"", 'MySpace Escort', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Cast Member', 'Yo Teach Principal', 'Miss Pruitt on Yo Teach', 'Bonita', 'Deli Manager', 'Re-Do Guy', 'College Guy with Camera', 'College Guy with Camera', 'Mom with Camera', 'Family with Camera', 'Family with Camera', 'Magician', ""Chuck's Wife"", 'Private Jet Pilot', 'San Francisco Theatre Manager', 'Paparazzi at Medical Center', 'Paparazzi at Medical Center', 'Emcee at Improv', 'Deli Customer', ""Hot Dog-Eating Champion's Son"", 'Hot Dog-Eating Co-Star', ""George's Mom"", ""George's Brother-In-Law"", ""George's Young Nephew"", 'Comedy & Magic Club Audience', 'Comedy & Magic Club Audience']",
553,The Kingdom,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,Germany,2007-08-22,Thriller,"['Ronald Fleury', 'Janet Mayes', 'Grant Sykes', 'Adam Leavitt', 'Sergeant Haytham', 'Damon Schmidt', 'Colonel Faris Al Ghazi', 'Robert Grace', 'Aaron Jackson', 'Francis Manner', 'Elaine Flowers', 'Gideon Young', 'Ellis Leach', 'Maricella Canavesio', 'Miss Ross', 'Lyla Fleury', 'Kevin Fleury', 'Prince Ahmed Bin Khaled', 'Prince Thamer']",
554,Talladega Nights: The Ballad of Ricky Bobby,"Lifelong friends and national idols Ricky Bobby and Cal Naughton Jr. have earned their NASCAR stripes with their uncanny knack of finishing races in the first and second slots, respectively, and slinging catchphrases like ""Shake and bake!"" But when a rival French driver coasts onto the track to challenge their records, they'll have to floor it to retain their top-dog status.",United States of America,2006-08-04,Comedy,"['Ricky Bobby', 'Cal Naughton, Jr.', 'Jean Girard', 'Reese Bobby', 'Lucius Washington', 'Carley Bobby', 'Susan', 'Lucy Bobby', 'Gregory', 'Mrs. Dennit', 'Hershell', 'Terry Cheveaux', '10-Year-Old Cal', '5-Year-Old Ricky', 'Schoolteacher', 'Glenn', 'Kyle', 'Waffle House Manager', 'ESPN Reporter', '10-Year-Old Ricky', 'Mr. Dennit, Sr.', 'Mos Def', 'Elvis Costello', 'John Hanafin']",
555,Dr. Dolittle 2,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",United States of America,2001-06-22,Comedy,"['Dr. John Dolittle', 'Lisa Dolittle', 'Charisse Dolittle', 'Maya Dolittle', 'Girl Bear Cub', 'Seeing Eye Dog / Wassup Fish / Mouse (voice)', 'Eugene Wilson', 'Secretary', 'Eldon', 'White Wolf (voice) (archive sound) (uncredited)', 'Lennie the Weasel (voice)', 'Squirrel (voice)', 'Dog / Animal Groupie #2 (voice)', 'Giraffe (voice)', 'Sonny (voice)', 'Bandit / Forest Animal / Animal Groupie #1 (voice)', 'Male Tortoise (voice)', 'Zoo Bear #1 (voice)', 'Bird (voice)', 'Bird (voice)', 'Girl Bear Cub (voice)', 'Boy Bear Cub (voice)', 'Animal Groupie #4 / Forest Animal / Dog (voice)', 'Rat #2 (voice)', 'School Fish #1 (voice)', 'Female Tortoise (voice)', 'Zoo Bear #2 (voice)', 'Ava (voice)', 'Drunk Monkey (uncredited)', 'Riley / Alligator', 'Judge B. Duff', 'Joe Potter', 'Logger / Nature Show Narrator', 'Animal Control Officer / Dog / Animal Groupie #3 / Forest Animal (voice)', 'Woman', 'Farmer', 'Farm Worker', 'Yuppie Man', 'Newscaster', 'Bear Announcer', 'Shamu Trainer', 'Klondike Dave Delivery Man', 'Waitress', 'Chihuahua Lady', 'Guy Throwing Frisbee', 'Girl Throwing Frisbee', 'Governor of California', 'Eric']",
556,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",United States of America,1995-05-24,Action,"['William Wallace', 'Murron MacClannough', 'Princess Isabelle', 'King Edward', 'Robert the Bruce', 'Hamish Campbell', 'Young William Wallace', 'Campbell', 'MacClannough', 'Mother MacClannough', 'Young Murron MacClannough', 'Nicolette', 'Malcolm Wallace', 'John Wallace', 'Elder Stewart', 'Young Hamish Campbell', 'Argyle Wallace', 'Edward, Prince of Wales', 'Phillip', 'Morrison', 'Lord Bottoms', 'MacGregor', 'Robert Bruce Sr.', 'Stephen, Irish Fighter', 'Veteran', 'Chief Justice/Executioner', 'Magistrate', 'Lord Talmadge', 'Cheltham', 'Balliol', 'Governor of York', 'Sean', 'Priest No. 1', ""King's Advisor"", 'Craig', 'Mornay', 'Mrs. Morrison', ""Bride's Father"", 'Smythe', 'Corporal', 'Madbaker / Flagman', 'Stewart', 'Faudron', 'Lochlan', 'Young soldier', 'English General', 'Drinker #1', 'Drinker #2', 'Chief Assassin', 'Jailor', 'English Commander', 'Doogal (uncredited)', 'Warrior #2 (uncredited)', 'Lady at Wedding (uncredited)', 'English General (uncredited)']",
557,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",Germany,2005-11-04,Drama,"['Staff Sgt. Sykes', 'Anthony Swofford', 'D.I. Fitch', 'Kruger', 'Alan Troy', 'Ramon Escobar', 'Lt. Col. Kazinski', ""Fergus O'Donnell"", 'Poitier', 'Corporal Harrigan', 'Julius', 'Branded Marine', 'Nurse', 'Young Mr. Swofford', 'Young Mrs. Swofford', ""Swoff's Sister"", 'Mrs. Swofford', 'Mr. Swofford', 'Bored Gunny', 'Major Lincoln']",
558,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",United States of America,2007-07-25,Animation,"[""Homer / Itchy / Barney / Grampa / Stage Manager / Krusty the Clown / Mayor Quimby / Mayor's Aide / Multi-Eyed Squirrel / Panicky Man / Sideshow Mel / Mr. Teeny / EPA Official / Kissing Cop / Bear / Boy on Phone / NSA Worker / Officer / Santa's Little Helper / Squeaky-Voiced Teen (voice)"", 'Marge Simpson / Selma / Patty (voice)', 'Bart Simpson / Maggie Simpson / Ralph / Nelson / Todd Flanders / TV Daughter / Woman on Phone (voice)', 'Lisa Simpson (voice)', 'Professor Frink / Comic Book Guy / Moe / Chief Wiggum / Lou / Carl / Cletus / Bumblebee Man / Male EPA Worker / Dome Depot Announcer / Kissing Cop / Carnival Barker / Counter Man / Apu / Drederick Tatum / Sea Captain / EPA Passenger / Robot / Dr. Nick / Wise Guy (voice)', 'Scratchy / Mr. Burns / Rev. Lovejoy / Ned Flanders / Lenny / Skull / President Arnold Schwarzenegger / Kent Brockman / Principal Skinner / Dr. Hibbert / Smithers / Toll Booth Man / Guard / Otto / Kang (voice)', 'Sideshow Bob (voice)', 'Colin (voice)', 'Milhouse Van Houten / Jimbo Jones / Rod Flanders (voice)', 'Mrs. Krabappel (voice)', 'Fat Tony (voice)', 'Himself (voice)', 'Green Day (voice)', 'Green Day (voice)', 'Green Day (voice)', ""Sweet Old Lady / Colin / Mrs. Skinner / Nelson's Mother / Pig / Cat Lady / Female EPA Worker / G.P.S. Woman / Cookie Kwan / Lindsey Naegle / TV Son / Medicine Woman / Girl on Phone (voice)"", 'Russ Cargill (voice)', 'Martin (voice)', 'Man / EPA Driver (voice)', 'Helen Lovejoy (voice)', 'TV Dad (voice)']",
559,The Majestic,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",United States of America,2001-12-21,Drama,"['Peter Appleton', 'Harry Trimble', 'Adele Stanton', 'Doc Stanton', 'Congressman Doyle', 'Elvin Glyde', 'Kevin Bannerman', 'Mayor Ernie Cole', 'Sheriff Cecil Coleman', 'Emmett Smith', 'Stan Keller', 'Irene Terwilliger', 'Mabel', 'Carl Leffert', 'Bob Leffert', 'Roland', 'Luke Trimble (voice)']",
560,Driven,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",Australia,2001-04-27,Action,"['Jimmy Bly', 'Demille Bly', 'Beau Brandenburg', 'Sophia Simone', 'Joe Tanto', 'Carl Henry', 'Lucretia Clan', 'Cathy Heguy', 'Memo Moreno', 'Crusher', 'Nina', 'Ingrid', 'Team Owner', 'Team Manager', 'Commentator #1', 'Replacement Driver', 'Dealership Reporter']",
561,Deux frères,"Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other.",France,2004-04-07,Adventure,"['Naï-Rea', 'Aidan McRory', 'Seine Exzellenz', 'Dorfältester', 'Paulette', 'Eugène Normandin', 'Mathilde Normandin', 'Zerbino', 'Saladin', 'Raoul Normandin', ""His Excellency's Majordomo"", 'Sergent Van Tranh', 'Auctioneer', 'Verlaine', 'Napoleon']",
562,The Village,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",United States of America,2004-07-30,Drama,"['Ivy Walker', 'Lucius Hunt', 'Noah Percy', 'Edward Walker', 'Alice Hunt', 'August Nicholson', 'Mrs. Clack', 'Vivian Percy', 'Robert Percy', 'Victor', 'Tabitha Walker', 'Kitty Walker', 'Christop Crane', 'Jamison', 'Finton Coin', 'Guard at Desk']",
563,Doctor Dolittle,"A successful physician and devoted family man, John Dolittle (Eddie Murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",United States of America,1998-06-22,Comedy,"['Dr. John Dolittle', 'Archer Dolittle', 'Dr. Mark Weller', 'Calloway', 'Dr. Gene Reiss', 'Lisa Dolittle', 'Maya Dolittle', 'Dr. Fish', 'Dr. Sam Litvack', 'Charisse Dolittle', 'Woman', 'Drunk Monkey (uncredited)']",
564,Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,United States of America,2002-08-02,Drama,"['Rev. Graham Hess', 'Merrill Hess', 'Morgan Hess', 'Bo Hess', 'Officer Paski', 'Ray Reddy', 'Colleen Hess', 'SFC Cunningham', 'Tracey Abernathy, die Apothekerin', 'Mrs. Nathan', 'Lionel Prichard', 'Sarah Hughes', 'Mr. Nathan', 'Professor der an Columbia Universität', 'Brasilianischer Geburtstags Junge']",
565,Shrek 2,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",United States of America,2004-05-19,Adventure,"['Shrek (voice)', 'Donkey (voice)', 'Princess Fiona (voice)', 'Queen (voice)', 'Puss In Boots (voice)', 'King (voice)', 'Prince Charming (voice)', 'Fairy Godmother (voice)', 'Pinocchio/Three Pigs (voice)', 'Gingerbread Man/Cedric/Announcer/Muffin Man/Mongo (voice)', 'Blind Mouse (voice)', 'Wolf (voice)', ""Page / Elf / Nobleman / Nobleman's Son (voice)"", 'Herald / Man with Box (voice)', 'Mirror / Dresser (voice)', 'Fast Food Clerk (voice)', 'Bar Frog (voice)', 'Ugly Stepsister (voice)', 'Receptionist (voice)', 'Humphries / Magic Mirror (voice)', 'Doll / Jill (voice)', 'Maiden #1 / Generic Female #2 (voice)', 'Maiden #2 (voice)', 'Joan Rivers (voice)', 'Captain of the Guards (voice)']",
566,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",United States of America,2006-06-08,Animation,"['Lightning McQueen (voice)', 'Doc Hudson (voice)', 'Sally Carrera (voice)', 'Mater (voice)', 'Luigi (voice)', 'Ramone (voice)', 'Sheriff (voice)', 'Fillmore (voice)', 'Sarge (voice)', 'Flo (voice)', 'Guido (voice)', 'The King (voice)', 'Chick Hicks (voice)', 'Lizzie (voice)', 'Mack /Hamm Car/Abominable Snow Plow/P.T. Flea Car (voice)', 'Red (voice)', 'Harv (voice)', 'British Harv', 'Junior (voice)', 'Himself', 'Michael Schumacher Ferrari (voice)', 'Jay Limo (voice)', 'Woody Car (voice)', 'Buzz Lightyear Car (voice)', 'Mike Car (voice)', 'Sullivan Truck (voice)', 'Flik Car (voice)', 'Bob Cutlass (voice)', 'Darrell Cartrip (voice)', 'Van (voice)', 'Minny (voice)', 'Tex (voice)', 'Rusty Rust-eze (voice)', 'Dusty Rust-eze (voice)', 'Mrs. The King (voice)', 'Fred (voice)', 'Kori Turbowitz (voice)', 'Not Chuck (voice)', 'Peterbilt (voice)', 'Boost (voice)', 'Snotrod (voice)', 'Wingo (voice)', 'DJ (voice)', 'Tia (voice)', 'Mia (voice)', 'Motorhome Race Fan (voice)', 'Motorhome Race Fan (voice)', '閃電麥坤']",
567,Runaway Bride,"Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly.",United States of America,1999-07-30,Comedy,"['Maggie Carpenter', 'Ike Graham', 'Peggy Flemming', 'Ellie Graham', 'Fisher', 'Coach Bob Kelly', 'Walter Carpenter', 'Priest Brian Norris', 'Pretty Woman in Bar', 'Model Shelby', 'Final Wedding Pastor', 'Dead Head Gill Chavez', 'George Swilling', 'Mrs. Pressman', 'Grandma', 'Betty Trout', 'Bartender', 'Luau Lady']",
568,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",United States of America,2002-08-09,Action,"['Xander Cage', 'Yelena', 'Agent Augustus Gibbons', 'El Jefe', 'Jordan King', 'Yorgi', 'Agent Toby Lee Shavers', 'Milan Sova', 'Kirill', 'Viktor', 'Senator Click Hotchkiss', 'Agent Jim McGrath', 'J.J.', 'Virg', 'T.J.', 'Ivan Podrov', 'Kolya', 'Agent Roger Donnan', 'James Tannick', 'Agent Polk']",
569,The SpongeBob Movie: Sponge Out of Water,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",United States of America,2015-02-05,Animation,"['SpongeBob / Gary / Agreeable Mob Member / Waffle (voice)', 'Patrick / Male Fish / Eager Customer (voice)', 'Doctor / Squidward / Angry Mob Member #2 / Doughnut / Squidasaurus Rex (voice)', 'Mr.Krabs (voice)', 'Sandy (voice)', 'Burger Beard', 'Seagull (voice)', 'Seagull (voice)', 'Seagull (voice)', 'Seagull (voice)', 'Seagull (voice)', 'Seagull (voice)', 'Seagull (voice)', 'Seagull (voice)', 'Seagull / Dead Parrot (voice)', 'Seagull / Dead Parrot / Pigeon Cabbie (voice)', 'Kyle / Helpful Angry Mob Member (voice)', 'Karen (the Computer Wife) / Harold’s Wife / Ice Cream Cone #2 (voice)', 'Sandals / Customer #1 / Fish on Bubble / Perch Perkins / Angry Fish / Maple Syrup Jar / Waffle / Ice Cream Cone #1 / Furballs / Giant Cute Kitty / Rainbow / Spotlight Guard / Angry Guard #1 / Tough Mob Member (voice)', 'Computer Voice / Shocked Mob Member (voice)', 'Mrs. Puff (voice)', 'Customer #2 (voice)', 'Angry Customer #1 (voice)', 'Popsicle (voice)', 'Popsicle (voice)', 'Bubbles (voice)', 'Boy on the Beach', 'Sandcastle Girl', 'Kicking Boy', 'Mikey', 'Tanning Woman', 'Woman with Stroller', 'Young Woman Customer', 'Customer', 'Customer', 'Older Boy Customer', 'Boy Customer #2', 'Young Boy with Cone', 'Surfer Girl with Cone', 'Woman on Sidewalk #1', 'Amy', 'Nut Vendor Customer', 'Mother with Cone', 'Young Girl with Cone', 'Nut Vendor', 'Woman on Sidewalk', 'Young Father', 'Little Boy on Lifeguard Chair', 'Food Truck Patron', 'Man Eating Krabby Patty', 'ND Beach Goer', 'ND Beach Goer', 'ND Beach Goer', 'ND Beach Goer', 'ND Beach Goer', 'Beach Goer', 'Surfer Dude (voice)', 'Surfer Dude', 'Baby in Stroller (voice)', 'Pearl (voice)', 'Plankton / Plankton Robot / News Anchor Fish / Mob Member (voice)']",
570,Ransom,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",United States of America,1996-11-08,Action,"['Tom Mullen', 'Det. Jimmy Shaker', 'Agent Lonnie Hawkins', 'Katherine Mullen', 'Maris', 'Sean Mullen', 'Clark Barnes', 'Cubby Barnes', 'Miles Roberts', 'Agent Kimba Welch', 'Agent Jack Sickler', 'Agent Paul Rhodes', 'David Torres', 'Jackie Brown', 'Bob Stone', 'Wallace', 'Fatima', 'Roberto', 'Reporter Guest', 'Nelson', 'Agent Sam', 'News Reporter', 'FBI Agent', 'Cop #1', 'Cop #2', 'Cop #3', 'Cop #4', 'Cop #5', 'Bank Manager', 'Science Fair Coordinator', 'Science Fair Judge', 'Radioman', 'Liquor Store Perp', 'Man at Party', 'FBI SWAT Team #1', 'FBI SWAT Team #2', 'FBI SWAT Team #3', 'FBI SWAT Sniper']",
